TNFAIP3,TNFAIP3,126
TNFAIP3,KIF11,9
TNFAIP3,NDUFS1,7
TNFAIP3,GLDC,4
TNFAIP3,FBXO3,4
TNFAIP3,CNKSR2,2
TNFAIP3,TBK1,5
TNFAIP3,YWHAH,11
TNFAIP3,RNH1,2
TNFAIP3,YWHAB,12
TNFAIP3,LRRC47,4
TNFAIP3,ALDH9A1,2
TNFAIP3,PPP2R1B,2
TNFAIP3,SAPS3,5
TNFAIP3,MCM6,3
TNFAIP3,MAPK1,8
TNFAIP3,HUWE1,11
TNFAIP3,PPA1,1
TNFAIP3,PAICS,5
TNFAIP3,YWHAG,9
TNFAIP3,YWHAE,53
TNFAIP3,IKBKAP,4
TNFAIP3,STATIP1,4
TNFAIP3,EIF5A,3
TNFAIP3,CHEK1,3
TNFAIP3,DMD,3
TNFAIP3,PRMT5,6
TNFAIP3,YWHAZ,14
TNFAIP3,CDK4,6
TNFAIP3,RCC2,11
TNFAIP3,HDAC2,1
TNFAIP3,IMPDH2,4
TNFAIP3,CCDC77,2
TNFAIP3,CHUK,2
TNFAIP3,TBL3,2
TNFAIP3,YWHAQ,22
TNFAIP3,PPP2R1A,14
TNFAIP3,ALDH18A1,6
TNFAIP3,PPP6C,2
TNFAIP3,RPIA,3
TNFAIP3,TXNL2,3
TNFAIP3,ACLY,8
TNFAIP3,WDR77,4
TNFAIP3,USP7,5
TNFAIP3,PPP2R2A,2
TNFAIP3,LOC284393,2
TNFAIP3,CARM1,12
TNFAIP3,SEC23B,4
TNFAIP3,IKBKG,1
TNFAIP3,DOK7,1
TNFAIP3,MAPK3,1
TNFAIP3,PQLC1,1
TNFAIP3,CAPS2,1
TNFAIP3,IKBKB,1
TNFAIP3,WDR26,1
TNFAIP3,PLS3,1
TNFAIP3,DNM1L,1
TNFAIP3,PKM2,37
TNFAIP3,DDX59,1
TNFAIP3,RSF1,1
TNFAIP3,MAPK14,2
TNFAIP3,TARS,1
TNFAIP3,DERA,1
TNFAIP3,CAD,43
TNFAIP3,LOC347701,1
TNFAIP3,HSPA8,53
TNFAIP3,POLDIP2,2
TNFAIP3,PFAS,2
TNFAIP3,PRPS1,2
TNFAIP3,MCM3,6
TNFAIP3,CCT7,4
TNFAIP3,PCBP2,3
TNFAIP3,KRT9,32
TNFAIP3,FASN,21
TNFAIP3,SFN,2
TNFAIP3,NoSymbol,1
TNFAIP3,WBP2,1
TNFAIP3,DHX40,1
TNFAIP3,FBXO21,1
TNFAIP3,TFG,36
TNFAIP3,PRDX4,5
TNFAIP3,ABCE1,2
TNFAIP3,PSMB1,1
TNFAIP3,OBSL1,1
TNFAIP3,PSMC3,2
TNFAIP3,HSPA5,34
TNFAIP3,CCT6A,8
TNFAIP3,SERPINB12,1
TNFAIP3,PDHA2,1
TNFAIP3,HSD17B10,3
TNFAIP3,RBM10,1
TNFAIP3,FLNA,4
TNFAIP3,NCL,32
TNFAIP3,HSPA1B,34
TNFAIP3,VCP,6
TNFAIP3,DHX9,31
TNFAIP3,KRT1,33
TNFAIP3,CCT3,4
TNFAIP3,FXR1,2
TNFAIP3,PPP2CA,6
TNFAIP3,EEF2,24
TNFAIP3,ITGB4BP,3
TNFAIP3,FUS,30
TNFAIP3,FN3KRP,2
TNFAIP3,MCM5,2
TNFAIP3,POLR2A,4
TNFAIP3,HSPD1,13
TNFAIP3,CCT8,8
TNFAIP3,MAT2A,3
TNFAIP3,CDC123,1
TNFAIP3,MRPL14,1
TNFAIP3,CYFIP2,1
TNFAIP3,PABPC1,24
TNFAIP3,CUL1,1
TNFAIP3,DDX3X,26
TNFAIP3,PDCD2L,1
TNFAIP3,FBXO22,1
TNFAIP3,BUB3,2
TNFAIP3,CLNS1A,1
TNFAIP3,HNRPUL1,23
TNFAIP3,HNRPA2B1,23
TNFAIP3,HSPA9,22
TNFAIP3,NoSymbol,20
TNFAIP3,RBM28,2
TNFAIP3,CPSF2,4
TNFAIP3,HSPA6,3
TNFAIP3,HSPA1L,22
TNFAIP3,PRMT1,8
TNFAIP3,DARS,2
TNFAIP3,ERAL1,3
TNFAIP3,C8orf33,2
TNFAIP3,HNRPK,19
TNFAIP3,DDX5,19
TNFAIP3,PRDX1,18
TNFAIP3,CRB1,1
TNFAIP3,RBBP6,1
TNFAIP3,MRPS22,3
TNFAIP3,CCT2,6
TNFAIP3,EIF5A2,3
TNFAIP3,TUBB2C,20
TNFAIP3,XRCC5,1
TNFAIP3,TCP1,4
TNFAIP3,FAM120B,3
TNFAIP3,KRT10,18
TNFAIP3,RPL18A,9
TNFAIP3,SEC24C,5
TNFAIP3,SKIV2L2,5
TNFAIP3,DDX6,5
TNFAIP3,GPI,2
TNFAIP3,IRS4,3
TNFAIP3,PFN2,3
TNFAIP3,CTPS,5
TNFAIP3,SMARCA4,8
TNFAIP3,CCT4,6
TNFAIP3,RPS3,16
TNFAIP3,KRT2,14
TNFAIP3,TRIM21,2
TNFAIP3,RPL5,13
TNFAIP3,DNAJC10,13
TNFAIP3,EEF1G,3
TNFAIP3,SNRP70,13
TNFAIP3,HSPA4L,4
TNFAIP3,MRTO4,2
TNFAIP3,HNRPH1,15
TNFAIP3,DDX21,11
TNFAIP3,SF3B3,6
TNFAIP3,HNRPU,14
TNFAIP3,CHERP,2
TNFAIP3,TNRC6B,13
TNFAIP3,UBE1,2
TNFAIP3,PEF1,3
TNFAIP3,EWSR1,15
TNFAIP3,RPS12,2
TNFAIP3,KPNB1,5
TNFAIP3,STRAP,5
TNFAIP3,DHX30,7
TNFAIP3,TRIM28,5
TNFAIP3,MRPL39,1
TNFAIP3,RPL3,10
TNFAIP3,TRSPAP1,1
TNFAIP3,RPS18,10
TNFAIP3,WWP2,2
TNFAIP3,RPS16,12
TNFAIP3,NOLC1,1
TNFAIP3,PLOD1,11
TNFAIP3,CFL1,2
TNFAIP3,RPS2,9
TNFAIP3,HNRPF,12
TNFAIP3,NoSymbol,2
TNFAIP3,TUFM,4
TNFAIP3,PRDX3,3
TNFAIP3,ILF3,9
TNFAIP3,RPS19,5
TNFAIP3,NoSymbol,3
TNFAIP3,RPLP0,11
TNFAIP3,CCT5,5
TNFAIP3,MCCC2,3
TNFAIP3,PABPC4,7
TNFAIP3,RSL1D1,4
TNFAIP3,VIM,4
TNFAIP3,RUVBL1,3
TNFAIP3,STAU1,2
TNFAIP3,HNRPM,8
TNFAIP3,RPL6,10
TNFAIP3,USP9X,3
TNFAIP3,SFRS3,3
TNFAIP3,PDIA6,5
TNFAIP3,EIF2S3,1
TNFAIP3,ACTR1A,2
TNFAIP3,HNRPR,7
TNFAIP3,NONO,4
TNFAIP3,EEF1A2,10
TNFAIP3,TUBA4A,10
TNFAIP3,DDX17,10
TNFAIP3,SFPQ,2
TNFAIP3,FAM98B,2
TNFAIP3,MTHFD1,5
TNFAIP3,DDX1,10
TNFAIP3,QPCT,4
TNFAIP3,RPS4X,9
TNFAIP3,SNRPA,5
TNFAIP3,RBM14,6
TNFAIP3,TUBB,10
TNFAIP3,PRDX2,5
TNFAIP3,C22orf28,10
TNFAIP3,NOL1,2
TNFAIP3,IGF2BP1,7
TNFAIP3,NT5DC2,3
TNFAIP3,KPNA2,6
TNFAIP3,RPS13,6
TNFAIP3,NoSymbol,8
TNFAIP3,DSP,4
TNFAIP3,TIAL1,9
TNFAIP3,RPL8,6
TNFAIP3,NPM1,9
TNFAIP3,hCG_21078,3
TNFAIP3,SFRS2,5
TNFAIP3,AK2,1
TNFAIP3,SFRS1,7
TNFAIP3,HSP90AB1,7
TNFAIP3,RPL4,8
TNFAIP3,HSPA4,6
TNFAIP3,RPS6,5
TNFAIP3,LARP1,6
TNFAIP3,MATR3,4
TNFAIP3,HSPH1,4
TNFAIP3,EXOSC10,2
TNFAIP3,SNRPD1,8
TNFAIP3,USP15,4
TNFAIP3,SNRPB2,2
TNFAIP3,TXN,6
TNFAIP3,LOC652595,4
TNFAIP3,RPL13,4
TNFAIP3,DAZAP1,7
TNFAIP3,XRN2,5
TNFAIP3,RPSA,2
TNFAIP3,RPL13A,5
TNFAIP3,SSB,7
TNFAIP3,GRSF1,3
TNFAIP3,RPS26P10,2
TNFAIP3,RPL10A,4
TNFAIP3,CSDA,7
TNFAIP3,TAF15,8
TNFAIP3,KRT5,4
TNFAIP3,RPL21,6
TNFAIP3,RPS9,5
TNFAIP3,DHX57,2
TNFAIP3,MCM4,1
TNFAIP3,SLC25A5,4
TNFAIP3,NoSymbol,3
TNFAIP3,SMARCC2,3
TNFAIP3,DHX36,4
TNFAIP3,OTUB2,1
TNFAIP3,DAP3,2
TNFAIP3,NoSymbol,4
TNFAIP3,SNRPB,7
TNFAIP3,DHX15,6
TNFAIP3,SEC23A,6
TNFAIP3,KHSRP,6
TNFAIP3,LGALS3BP,7
TNFAIP3,NoSymbol,6
TNFAIP3,HNRPH3,8
TNFAIP3,PRPF39,4
TNFAIP3,RBBP4,2
TNFAIP3,RPS7,3
TNFAIP3,AHCY,2
TNFAIP3,CUL3,2
TNFAIP3,RPL9,4
TNFAIP3,RPL14,6
TNFAIP3,RPS24,6
TNFAIP3,RPL18,5
TNFAIP3,HIST1H1C,5
TNFAIP3,LOC285176,3
TNFAIP3,SF3B4,1
TNFAIP3,HNRPDL,6
TNFAIP3,KHDRBS1,3
TNFAIP3,RPS14,5
TNFAIP3,RPS15A,4
TNFAIP3,RPS8,5
TNFAIP3,SFRS5,2
TNFAIP3,MRPS5,1
TNFAIP3,DLD,1
TNFAIP3,RPS20,6
TNFAIP3,SNRPD2,5
TNFAIP3,PCBP1,2
TNFAIP3,AIFM1,3
TNFAIP3,RPL7A,6
TNFAIP3,ILF2,6
TNFAIP3,TARDBP,1
TNFAIP3,CIRBP,3
TNFAIP3,CCBL2,2
TNFAIP3,KIAA1967,2
TNFAIP3,PSMD12,1
TNFAIP3,DNAJA1,4
TNFAIP3,TIA1,6
TNFAIP3,RPL15,6
TNFAIP3,RPLP2,6
TNFAIP3,RPL27,4
TNFAIP3,HNRPC,4
TNFAIP3,CLTC,4
TNFAIP3,RPL12,4
TNFAIP3,SNRPG,4
TNFAIP3,GFAP,4
TNFAIP3,PRPF19,2
TNFAIP3,RPL37A,1
TNFAIP3,TUBA1C,5
TNFAIP3,ASCC3L1,2
TNFAIP3,LYAR,2
TNFAIP3,KRT14,2
TNFAIP3,RRP12,1
TNFAIP3,EIF4A1,2
TNFAIP3,HNRPD,5
TNFAIP3,C1QBP,5
TNFAIP3,RPL23A,4
TNFAIP3,THOC4,3
TNFAIP3,RPS27A,5
TNFAIP3,EIF2C2,4
TNFAIP3,HNRPAB,5
TNFAIP3,LOC497661,3
TNFAIP3,RCBTB1,2
TNFAIP3,RPS15,3
TNFAIP3,GARS,1
TNFAIP3,RPL24,4
TNFAIP3,HSP90AA2,2
TNFAIP3,NAP1L1,3
TNFAIP3,HNRPA1,4
TNFAIP3,LOC650788,4
TNFAIP3,NFKB1,3
TNFAIP3,BAG4,4
TNFAIP3,ATP6V1G2,2
TNFAIP3,NoSymbol,2
TNFAIP3,SYNCRIP,3
TNFAIP3,HSPA7,4
TNFAIP3,PCMT1,2
TNFAIP3,SKP1A,1
TNFAIP3,EEF1A1,4
TNFAIP3,PSMC6,1
TNFAIP3,FTSJ3,1
